Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Endoderm Development (GO:0007492),1/14,0.033769693865094,0.1250293374826218,0,0,31.95192307692308,108.25923449477123,DUSP1
GO_Biological_Process_2023,Bone Morphogenesis (GO:0060349),1/14,0.033769693865094,0.1250293374826218,0,0,31.95192307692308,108.25923449477123,ATG9B
GO_Biological_Process_2023,Receptor-Mediated Endocytosis (GO:0006898),2/122,0.0360231599262089,0.1250293374826218,0,0,7.032269503546099,23.37240321571158,CXCR1;CXCR2
GO_Biological_Process_2023,Sympathetic Nervous System Development (GO:0048485),1/15,0.0361386092201723,0.1250293374826218,0,0,29.668154761904763,98.50994756608031,NELL2
GO_Biological_Process_2023,Regulation Of Systemic Arterial Blood Pressure By Hormone (GO:0001990),1/15,0.0361386092201723,0.1250293374826218,0,0,29.668154761904763,98.50994756608031,EDN3
GO_Biological_Process_2023,Regulation Of Hormone Secretion (GO:0046883),1/15,0.0361386092201723,0.1250293374826218,0,0,29.668154761904763,98.50994756608031,EDN3
GO_Biological_Process_2023,Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:1902229),1/15,0.0361386092201723,0.1250293374826218,0,0,29.668154761904763,98.50994756608031,CDKN2D
GO_Biological_Process_2023,Positive Regulation Of Syncytium Formation By Plasma Membrane Fusion (GO:0060143),1/15,0.0361386092201723,0.1250293374826218,0,0,29.668154761904763,98.50994756608031,RIPOR2
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Proliferation (GO:0050679),2/123,0.0365623414508728,0.1250293374826218,0,0,6.97379989449622,23.07446618756862,NELL2;JAML
GO_Biological_Process_2023,Neuron Projection Guidance (GO:0097485),2/124,0.0371046571441088,0.1250293374826218,0,0,6.916288803627485,22.782343762963357,NELL2;ARHGEF40
GO_Biological_Process_2023,Stabilization Of Membrane Potential (GO:0030322),1/16,0.0385018352066202,0.1250293374826218,0,0,27.68888888888889,90.18407814256835,KCNK7
GO_Biological_Process_2023,"Synaptic Transmission, Cholinergic (GO:0007271)",1/16,0.0385018352066202,0.1250293374826218,0,0,27.68888888888889,90.18407814256835,RIC3
GO_Biological_Process_2023,Regulation Of Anatomical Structure Morphogenesis (GO:0022603),2/127,0.0387502305620584,0.1250293374826218,0,0,6.749276595744681,21.93932385787189,KRT1;CXCL13
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),3/308,0.0396176801751542,0.1250293374826218,0,0,4.200855310049893,13.562376474628572,RIPOR2;DUSP1;MNDA
GO_Biological_Process_2023,Positive Regulation Of Heart Rate (GO:0010460),1/17,0.0408593851672061,0.1250293374826218,0,0,25.95703125,83.00068948212059,EDN3
GO_Biological_Process_2023,Regulation Of Receptor Recycling (GO:0001919),1/17,0.0408593851672061,0.1250293374826218,0,0,25.95703125,83.00068948212059,TRAT1
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Chemotaxis (GO:0140131),1/17,0.0408593851672061,0.1250293374826218,0,0,25.95703125,83.00068948212059,CXCL13
GO_Biological_Process_2023,Regulation Of Establishment Of Cell Polarity (GO:2000114),1/17,0.0408593851672061,0.1250293374826218,0,0,25.95703125,83.00068948212059,RIPOR2
GO_Biological_Process_2023,Regulation Of Leukocyte Chemotaxis (GO:0002688),1/17,0.0408593851672061,0.1250293374826218,0,0,25.95703125,83.00068948212059,EDN3
GO_Biological_Process_2023,Negative Regulation Of Rho Protein Signal Transduction (GO:0035024),1/17,0.0408593851672061,0.1250293374826218,0,0,25.95703125,83.00068948212059,RIPOR2
GO_Biological_Process_2023,Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630),1/17,0.0408593851672061,0.1250293374826218,0,0,25.95703125,83.00068948212059,CXCL13
GO_Biological_Process_2023,Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266),1/17,0.0408593851672061,0.1250293374826218,0,0,25.95703125,83.00068948212059,DUSP1
